City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind speed
epiniana,92,GR,1544316441,98,39.14,21.61,6.12,0.87
senneterre,75,CA,1544313600,91,48.39,-77.24,-17,1.5
evensk,56,RU,1544316442,100,61.92,159.24,-13.04,9.37
beyla,0,GN,1544316442,64,8.69,-8.65,16.74,1.27
nome,90,US,1544314500,87,30.04,-94.42,10,6.2
tateyama,75,JP,1544315100,100,36.66,137.31,1,1
saint-denis,92,FR,1544313600,87,48.94,2.36,11,6.7
griffith,32,AU,1544313600,33,-34.29,146.06,32,5.7
poum,88,MK,1544316443,96,41.28,20.71,-0.61,0.52
orchard homes,90,US,1544313180,64,46.86,-114.05,-4.4,0.82
taksimo,0,RU,1544316444,52,56.36,114.84,-35.99,0.87
pangody,88,RU,1544316444,88,65.85,74.49,-7.99,4.47
laureles,40,MX,1544312580,46,20.73,-103.39,23,3.1
cabedelo,40,BR,1544313600,83,-6.97,-34.84,27,2.6
katangli,68,RU,1544316445,100,51.71,143.23,-15.59,7.77
powell,1,US,1544315700,85,40.16,-83.08,-3.9,2.6
omboue,80,GA,1544316446,100,-1.57,9.26,25.79,1.72
grand gaube,40,MU,1544313600,88,-20.01,57.66,25,4.6
kedrovyy,20,RU,1544315400,82,56.17,91.82,-29,1.52
san cristobal,40,EC,1544313600,93,-0.39,-78.55,14,2.6
nyuzen,75,JP,1544315100,100,36.93,137.5,1,1
green valley,75,US,1544314980,74,40.41,-89.64,-3.9,2.1
inuvik,75,CA,1544313600,77,68.36,-133.71,-15,4.6
pandan,80,PH,1544316449,100,11.72,122.09,27.14,9.02
kailua,40,US,1544314860,78,21.39,-157.74,25.6,7.2
cuiluan,0,CN,1544316449,55,47.72,128.65,-28.69,1.92
methoni,88,GR,1544316450,100,36.82,21.7,16.39,9.42
garden city,75,US,1544314500,58,40.73,-73.63,1.1,3.22
deer lake,75,CA,1544313600,85,49.18,-57.43,-9,2.72
tarko-sale,92,RU,1544316450,88,64.92,77.78,-9.36,5.17
bontang,24,ID,1544316451,100,0.12,117.47,25.72,3.32
takoradi,32,GH,1544316451,100,4.89,-1.75,27.37,3.47
shahr-e kord,0,IR,1544313600,92,32.33,50.85,-3,1
imeni zhelyabova,36,RU,1544316452,91,58.95,36.6,-7.24,4.92
los naranjos,40,VE,1544313600,74,7.64,-71.98,26,1
hovd,90,NO,1544314800,95,63.83,10.7,1,4.6
puerto ayacucho,24,CO,1544316454,81,5.66,-67.63,26.32,1.62
sorland,12,NO,1544316454,100,67.67,12.69,4.24,11.77
sabang,88,PH,1544316454,100,13.72,123.58,25.92,4.82
dunedin,64,NZ,1544316454,73,-45.87,170.5,21.27,1.47
cedar city,1,US,1544313180,70,37.68,-113.06,6.1,2.6
amarante do maranhao,32,BR,1544316455,87,-5.57,-46.74,24.22,1.37
rajo khanani,0,PK,1544316455,85,24.98,68.85,12.97,1.27
bria,36,CF,1544316455,69,6.54,21.99,18.67,1.42
robertsport,0,LR,1544316456,98,6.75,-11.37,28.97,4.22
lagoa,0,PT,1544313600,81,37.14,-8.45,12,2.1
miandoab,75,IR,1544313600,81,36.97,46.1,6,2.1
minamiashigara,75,JP,1544315400,45,35.32,139.1,10,5.7
wawa,0,NG,1544316457,53,9.9,4.41,20.79,2.12
shakiso,36,ET,1544316458,74,5.77,38.9,15.17,1.22
kloulklubed,75,PW,1544313240,88,7.04,134.26,27,5.1
chapais,90,CA,1544313600,83,49.78,-74.86,-20,1.5
kavaratti,0,IN,1544316459,100,10.57,72.64,28.67,3.37
tekeli,48,KZ,1544316459,46,44.86,78.76,-15.19,0.97
sokolo,0,ML,1544316459,41,14.74,-6.12,16.17,2.77
vestmannaeyjar,88,IS,1544316459,100,63.44,-20.27,1.04,3.02
krasnyy kholm,68,RU,1544316460,89,58.06,37.11,-7.04,6.07
tivoli,0,IT,1544314800,75,41.96,12.8,7,0.5
alyangula,0,AU,1544313600,62,-13.85,136.42,32,3.6
maraa,36,BR,1544316461,97,-1.83,-65.37,24.54,1.27
gizo,40,IL,1544314800,82,31.8,34.94,14,2.1
mantua,75,IT,1544314800,98,45.16,10.79,5,0.5
meulaboh,8,ID,1544316462,100,4.14,96.13,25.64,1.42
clinton,90,US,1544315760,68,41.84,-90.19,-2.2,1.5
honiara,32,SB,1544316463,78,-9.43,159.96,29.32,1.12
binga,44,ZW,1544316463,88,-17.62,27.34,24.62,1.02
tomakomai,75,JP,1544315400,73,42.65,141.6,-7,0.5
brae,68,GB,1544314800,80,60.4,-1.35,5,12.9
ulkan,48,RU,1544316465,67,57.24,107.32,-30.76,1.07
ewo,92,CG,1544316465,98,-0.88,14.81,20.02,1.27
usinsk,80,RU,1544316465,86,66,57.56,-8.39,4.22
manggar,12,ID,1544316466,99,-2.88,108.27,27.24,1.67
port hedland,12,AU,1544315400,30,-20.31,118.58,37,3.6
sayat,90,TM,1544313600,93,38.78,63.88,9,2.1
sfantu gheorghe,48,RO,1544313600,96,44.65,26.83,2,5.1
princeton,90,US,1544315700,81,41.37,-89.46,-3,2.07
jasper,100,US,1544314680,100,33.83,-87.28,6.7,5.1
madera,1,US,1544315700,81,36.96,-120.06,14.4,2.1
maracas,20,TT,1544313600,78,10.76,-61.44,26,1.5
tottori,75,JP,1544315280,100,35.5,134.23,3,1.5
koslan,68,RU,1544316469,74,63.46,48.9,-7.49,2.92
cooma,75,AU,1544313600,44,-36.24,149.13,24,5.7
campobasso,0,IT,1544316469,85,41.56,14.66,-1.14,0.62
marrakesh,0,MA,1544315400,81,31.63,-7.99,10,1.5
fort myers beach,75,US,1544314500,70,26.45,-81.95,23.9,2.87
naze,24,NG,1544316470,89,5.43,7.07,23.24,2.32
vila do maio,20,CV,1544313600,64,15.13,-23.22,24,5.1
turayf,0,SA,1544313600,93,31.68,38.65,7,1
keningau,75,MY,1544315400,74,5.33,116.16,29,1.5
starosubkhangulovo,92,RU,1544316471,63,53.1,57.43,-9.69,1.32
harbin,0,CN,1544313600,64,45.77,126.62,-19,4
biak,0,ID,1544316472,90,-0.91,122.88,28.32,0.97
pringsewu,20,ID,1544316472,90,-5.36,104.98,24.04,1.22
flin flon,75,CA,1544313600,85,54.77,-101.88,-11,2.6
wad rawah,8,SD,1544316473,44,15.16,33.13,16.87,4.22
porto novo,75,BR,1544313600,77,-23.68,-45.44,16,2.1
saint-francois,75,FR,1544313600,76,46.42,3.91,12,5.7
lerwick,20,GB,1544314800,75,60.15,-1.15,5,9.8
isangel,0,VU,1544316470,100,-19.55,169.27,25.54,10.52
gamba,36,CN,1544316475,67,28.28,88.52,-21.84,0.42
port macquarie,0,AU,1544313600,47,-31.43,152.91,27,7.7
mossendjo,92,CG,1544316475,96,-2.95,12.72,20.72,1.12
awjilah,0,LY,1544316475,80,29.14,21.3,6.24,1.22
mokhsogollokh,76,RU,1544316476,52,61.4,128.95,-27.89,2.32
calvinia,20,ZA,1544316476,89,-31.47,19.78,5.27,1.62
san,0,ML,1544316191,61,13.3,-4.9,16.07,1.97
nacala,68,MZ,1544316476,86,-14.56,40.69,28.92,4.12
alihe,0,CN,1544316477,66,50.57,123.73,-26.44,2.52
kaniama,100,CD,1544316477,100,-7.57,24.18,18.79,1.47
slave lake,1,CA,1544313600,85,55.28,-114.77,-11,1.5
tarakan,68,ID,1544316478,100,3.3,117.63,27.04,1.52
walvis bay,0,NA,1544313600,82,-22.95,14.51,15,1
klyuchi,0,RU,1544316478,64,52.25,79.17,-25.54,1.52
nizhyn,92,UA,1544316478,98,51.05,31.88,2.87,5.17
